date,hour,total_sales
2023-01-12,11,443.1
2023-01-12,12,247.37
2023-01-12,13,475.0
2023-01-12,14,403.94
2023-01-12,15,152.14
2023-01-12,16,571.91
2023-01-12,17,370.96
2023-01-12,18,388.41
2023-01-12,19,286.73
2023-01-12,20,326.6
2023-01-12,21,212.57
2023-01-13,8,132.45
2023-01-13,9,140.58
2023-01-13,10,247.28
2023-01-13,11,574.9
2023-01-13,12,609.36
2023-01-13,13,857.95
2023-01-13,14,205.97
2023-01-13,15,421.71
2023-01-13,16,222.96
2023-01-13,17,420.49
2023-01-13,18,334.68
2023-01-13,19,358.0
2023-01-13,20,224.05
2023-01-13,21,109.14
2023-01-14,8,291.88
2023-01-14,9,504.84
2023-01-14,10,664.66
2023-01-14,11,855.83
2023-01-14,12,1108.91
2023-01-14,13,363.27
2023-01-14,14,1045.27
2023-01-14,15,253.97
2023-01-14,16,1188.74
2023-01-14,17,533.46
2023-01-14,18,804.0
2023-01-14,19,1138.82
2023-01-14,20,394.52
2023-01-14,21,754.8
2023-01-15,8,994.75
2023-01-15,9,773.43
2023-01-15,10,862.05
2023-01-15,11,766.75
2023-01-15,12,494.53
2023-01-15,13,558.43
2023-01-15,14,779.85
2023-01-15,15,565.35
2023-01-15,16,401.38
2023-01-15,17,987.28
2023-01-15,18,585.52
2023-01-15,19,395.88
2023-01-15,20,489.93
2023-01-15,21,342.7
2023-01-16,8,219.89
2023-01-16,9,327.74
2023-01-16,10,125.92
2023-01-16,11,452.68
2023-01-16,12,189.08
2023-01-16,13,351.57
2023-01-16,14,288.73
2023-01-16,15,135.03
2023-01-16,16,193.74
2023-01-16,17,652.89
2023-01-16,18,564.53
2023-01-16,19,370.78
2023-01-16,20,98.73
2023-01-16,21,223.46
2023-01-17,8,353.25
2023-01-17,9,227.29
2023-01-17,10,441.67
2023-01-17,11,184.98
2023-01-17,12,841.34
2023-01-17,13,426.79
2023-01-17,14,137.17
2023-01-17,15,147.51
2023-01-17,16,478.65
2023-01-17,17,528.65
2023-01-17,18,805.93
2023-01-17,19,48.55
2023-01-17,20,265.72
2023-01-17,21,139.22
2023-01-18,8,74.53
2023-01-18,9,113.19
2023-01-18,10,108.19
2023-01-18,11,195.78
2023-01-18,12,425.96
2023-01-18,13,793.2
2023-01-18,14,410.65
2023-01-18,15,146.13
2023-01-18,16,688.41
2023-01-18,17,597.97
2023-01-18,18,542.75
2023-01-18,19,92.07
2023-01-18,20,269.63
2023-01-18,21,415.02
2023-01-19,8,278.88
2023-01-19,9,122.33
2023-01-19,10,470.73
2023-01-19,11,616.77
2023-01-19,12,426.66
2023-01-19,13,506.64
2023-01-19,14,171.9
2023-01-19,15,490.89
2023-01-19,16,970.7
2023-01-19,17,672.11
2023-01-19,18,486.11
2023-01-19,19,202.48
2023-01-19,20,323.12
2023-01-19,21,445.71
2023-01-20,8,322.88
2023-01-20,9,212.06
2023-01-20,10,245.19
2023-01-20,11,715.85
2023-01-20,12,230.58
2023-01-20,13,255.56
2023-01-20,14,85.88
2023-01-20,15,364.87
2023-01-20,16,274.4
2023-01-20,17,720.92
2023-01-20,18,500.27
2023-01-20,19,150.43
2023-01-20,20,472.65
2023-01-20,21,124.07
2023-01-21,8,648.03
2023-01-21,9,469.02
2023-01-21,10,645.15
2023-01-21,11,569.21
2023-01-21,12,912.15
2023-01-21,13,739.65
2023-01-21,14,502.64
2023-01-21,15,746.56
2023-01-21,16,418.75
2023-01-21,17,822.85
2023-01-21,18,1435.41
2023-01-21,19,759.24
2023-01-21,20,744.84
2023-01-21,21,641.47
2023-01-22,8,517.92
2023-01-22,9,413.59
2023-01-22,10,190.84
2023-01-22,11,932.54
2023-01-22,12,790.98
2023-01-22,13,767.42
2023-01-22,14,877.13
2023-01-22,15,495.03
2023-01-22,16,840.01
2023-01-22,17,894.05
2023-01-22,18,965.23
2023-01-22,19,597.88
2023-01-22,20,707.83
2023-01-22,21,605.36
2023-01-23,8,133.63
2023-01-23,9,417.75
2023-01-23,10,235.84
2023-01-23,11,805.87
2023-01-23,12,771.32
2023-01-23,13,451.39
2023-01-23,14,259.85
2023-01-23,15,205.96
2023-01-23,16,574.84
2023-01-23,17,618.27
2023-01-23,18,603.81
2023-01-23,19,242.38
2023-01-23,20,169.76
2023-01-23,21,333.47
2023-01-24,8,238.03
2023-01-24,9,124.62
2023-01-24,10,541.35
2023-01-24,11,506.98
2023-01-24,12,625.83
2023-01-24,13,479.57
2023-01-24,14,260.38
2023-01-24,15,433.71
2023-01-24,16,500.32
2023-01-24,17,314.34
2023-01-24,18,663.68
2023-01-24,19,186.86
2023-01-24,20,326.41
2023-01-24,21,358.37
2023-01-25,8,151.93
2023-01-25,9,111.28
2023-01-25,10,292.98
2023-01-25,11,966.61
2023-01-25,12,520.09
2023-01-25,13,815.02
2023-01-25,14,183.55
2023-01-25,15,122.19
2023-01-25,16,914.31
2023-01-25,17,862.94
2023-01-25,18,610.79
2023-01-25,19,223.13
2023-01-25,20,555.25
2023-01-25,21,115.26
2023-01-26,8,320.65
2023-01-26,9,329.45
2023-01-26,10,208.16
2023-01-26,11,402.94
2023-01-26,12,476.24
2023-01-26,13,576.31
2023-01-26,14,118.24
2023-01-26,15,143.35
2023-01-26,16,280.61
2023-01-26,17,660.32
2023-01-26,18,172.86
2023-01-26,19,255.35
2023-01-26,20,289.87
2023-01-26,21,163.96
2023-01-27,8,281.3
2023-01-27,9,312.79
2023-01-27,10,248.09
2023-01-27,11,593.43
2023-01-27,12,389.29
2023-01-27,13,298.41
2023-01-27,14,223.28
2023-01-27,15,594.51
2023-01-27,16,802.19
2023-01-27,17,359.4
2023-01-27,18,641.33
2023-01-27,19,325.09
2023-01-27,20,397.03
2023-01-27,21,412.35
2023-01-28,8,210.85
2023-01-28,9,500.91
2023-01-28,10,1106.7
2023-01-28,11,739.27
2023-01-28,12,1032.86
2023-01-28,13,473.98
2023-01-28,14,696.8
2023-01-28,15,831.75
2023-01-28,16,1184.62
2023-01-28,17,561.3
2023-01-28,18,857.61
2023-01-28,19,551.66
2023-01-28,20,441.24
2023-01-28,21,439.09
2023-01-29,8,344.14
2023-01-29,9,328.79
2023-01-29,10,352.85
2023-01-29,11,976.47
2023-01-29,12,287.89
2023-01-29,13,741.79
2023-01-29,14,645.65
2023-01-29,15,450.86
2023-01-29,16,821.75
2023-01-29,17,1127.06
2023-01-29,18,358.3
2023-01-29,19,199.45
2023-01-29,20,770.52
2023-01-29,21,246.17
2023-01-30,8,219.39
2023-01-30,9,198.73
2023-01-30,10,271.87
2023-01-30,11,793.61
2023-01-30,12,498.81
2023-01-30,13,440.21
2023-01-30,14,182.99
2023-01-30,15,210.96
2023-01-30,16,567.62
2023-01-30,17,525.59
2023-01-30,18,497.98
2023-01-30,19,142.06
2023-01-30,20,224.32
2023-01-30,21,373.39
2023-01-31,8,137.96
2023-01-31,9,113.73
2023-01-31,10,144.5
2023-01-31,11,835.36
2023-01-31,12,697.13
2023-01-31,13,749.99
2023-01-31,14,245.06
2023-01-31,15,549.54
2023-01-31,16,219.36
2023-01-31,17,421.44
2023-01-31,18,770.5
2023-01-31,19,187.46
2023-01-31,20,232.99
2023-01-31,21,350.48
2023-02-01,8,260.38
2023-02-01,9,507.5
2023-02-01,10,327.15
2023-02-01,11,427.85
2023-02-01,12,230.08
2023-02-01,13,501.57
2023-02-01,14,355.88
2023-02-01,15,303.75
2023-02-01,16,311.9
2023-02-01,17,703.92
2023-02-01,18,711.06
2023-02-01,19,671.58
2023-02-01,20,251.17
2023-02-01,21,159.58
2023-02-02,8,228.4
2023-02-02,9,117.85
2023-02-02,10,180.96
2023-02-02,11,693.17
2023-02-02,12,426.91
2023-02-02,13,297.83
2023-02-02,14,116.64
2023-02-02,15,218.99
2023-02-02,16,841.42
2023-02-02,17,712.63
2023-02-02,18,752.97
2023-02-02,19,385.14
2023-02-02,20,281.22
2023-02-02,21,390.07
2023-02-03,8,551.35
2023-02-03,9,148.81
2023-02-03,10,474.48
2023-02-03,11,376.33
2023-02-03,12,528.92
2023-02-03,13,427.08
2023-02-03,14,265.33
2023-02-03,15,178.86
2023-02-03,16,286.57
2023-02-03,17,167.42
2023-02-03,18,563.9
2023-02-03,19,151.03
2023-02-03,20,137.68
2023-02-03,21,228.44
2023-02-04,8,245.46
2023-02-04,9,242.72
2023-02-04,10,1020.3
2023-02-04,11,676.25
2023-02-04,12,312.56
2023-02-04,13,763.17
2023-02-04,14,188.62
2023-02-04,15,704.66
2023-02-04,16,819.35
2023-02-04,17,1006.53
2023-02-04,18,378.49
2023-02-04,19,657.16
2023-02-04,20,818.18
2023-02-04,21,237.98
2023-02-05,8,904.89
2023-02-05,9,912.23
2023-02-05,10,823.26
2023-02-05,11,669.76
2023-02-05,12,1116.28
2023-02-05,13,828.41
2023-02-05,14,990.83
2023-02-05,15,355.02
2023-02-05,16,1570.73
2023-02-05,17,315.97
2023-02-05,18,806.57
2023-02-05,19,218.47
2023-02-05,20,349.05
2023-02-05,21,833.53
2023-02-06,8,438.83
2023-02-06,9,130.91
2023-02-06,10,261.61
2023-02-06,11,387.77
2023-02-06,12,233.91
2023-02-06,13,452.15
2023-02-06,14,387.98
2023-02-06,15,395.23
2023-02-06,16,588.69
2023-02-06,17,348.96
2023-02-06,18,380.71
2023-02-06,19,389.31
2023-02-06,20,342.31
2023-02-06,21,191.72
2023-02-07,8,119.21
2023-02-07,9,263.58
2023-02-07,10,355.86
2023-02-07,11,356.29
2023-02-07,12,160.27
2023-02-07,13,476.94
2023-02-07,14,287.82
2023-02-07,15,164.88
2023-02-07,16,317.69
2023-02-07,17,207.42
2023-02-07,18,747.88
2023-02-07,19,100.06
2023-02-07,20,368.4
2023-02-07,21,301.44
2023-02-08,8,155.33
2023-02-08,9,281.85
2023-02-08,10,604.06
2023-02-08,11,238.36
2023-02-08,12,536.35
2023-02-08,13,388.78
2023-02-08,14,261.64
2023-02-08,15,420.56
2023-02-08,16,435.13
2023-02-08,17,469.81
2023-02-08,18,768.76
2023-02-08,19,450.1
2023-02-08,20,234.64
2023-02-08,21,289.01
2023-02-09,8,572.3
2023-02-09,9,173.43
2023-02-09,10,453.13
2023-02-09,11,291.63
2023-02-09,12,683.17
2023-02-09,13,553.28
2023-02-09,14,472.9
2023-02-09,15,325.78
2023-02-09,16,609.65
2023-02-09,17,518.4
2023-02-09,18,927.56
2023-02-09,19,202.52
2023-02-09,20,87.31
2023-02-09,21,187.98
2023-02-10,8,136.32
2023-02-10,9,304.77
2023-02-10,10,140.23
2023-02-10,11,180.7
2023-02-10,12,548.16
2023-02-10,13,467.31
2023-02-10,14,170.59
2023-02-10,15,194.56
2023-02-10,16,729.67
2023-02-10,17,219.06
2023-02-10,18,622.43
2023-02-10,19,421.89
2023-02-10,20,362.47
2023-02-10,21,541.12
2023-02-11,8,535.62
2023-02-11,9,801.51
2023-02-11,10,572.97
2023-02-11,11,581.64
2023-02-11,12,291.36
2023-02-11,13,461.42
2023-02-11,14,624.18
2023-02-11,15,328.58
2023-02-11,16,1230.36
2023-02-11,17,368.19
2023-02-11,18,992.9
2023-02-11,19,1058.18
2023-02-11,20,263.23
2023-02-11,21,838.46
2023-02-12,8,792.24
2023-02-12,9,596.95
2023-02-12,10,399.04
2023-02-12,11,656.15
2023-02-12,12,1135.37
2023-02-12,13,570.72
2023-02-12,14,532.28
2023-02-12,15,594.21
2023-02-12,16,640.67
2023-02-12,17,720.39
2023-02-12,18,741.41
2023-02-12,19,1016.58
2023-02-12,20,672.72
2023-02-12,21,467.85
2023-02-13,8,326.1
2023-02-13,9,471.05
2023-02-13,10,292.65
2023-02-13,11,493.64
2023-02-13,12,474.81
2023-02-13,13,479.14
2023-02-13,14,564.42
2023-02-13,15,202.03
2023-02-13,16,242.0
2023-02-13,17,731.15
2023-02-13,18,665.41
2023-02-13,19,379.52
2023-02-13,20,404.04
2023-02-13,21,218.24
2023-02-14,8,254.41
2023-02-14,9,330.81
2023-02-14,10,229.42
2023-02-14,11,455.79
2023-02-14,12,186.97
2023-02-14,13,175.0
2023-02-14,14,230.09
2023-02-14,15,214.38
2023-02-14,16,761.49
2023-02-14,17,382.19
2023-02-14,18,412.43
2023-02-14,19,360.84
2023-02-14,20,290.26
2023-02-14,21,299.7
2023-02-15,8,220.38
2023-02-15,9,227.08
2023-02-15,10,676.92
2023-02-15,11,475.51
2023-02-15,12,276.99
2023-02-15,13,322.15
2023-02-15,14,199.23
2023-02-15,15,212.15
2023-02-15,16,222.55
2023-02-15,17,235.89
2023-02-15,18,200.58
2023-02-15,19,330.14
2023-02-15,20,151.68
2023-02-15,21,277.3
2023-02-16,8,434.84
2023-02-16,9,222.62
2023-02-16,10,361.03
2023-02-16,11,292.57
2023-02-16,12,254.53
2023-02-16,13,581.78
2023-02-16,14,380.66
2023-02-16,15,353.86
2023-02-16,16,328.27
2023-02-16,17,667.42
2023-02-16,18,724.85
2023-02-16,19,437.16
2023-02-16,20,453.38
2023-02-16,21,266.59
2023-02-17,8,318.06
2023-02-17,9,86.59
2023-02-17,10,693.69
2023-02-17,11,562.02
2023-02-17,12,773.35
2023-02-17,13,403.71
2023-02-17,14,282.67
2023-02-17,15,234.93
2023-02-17,16,341.21
2023-02-17,17,583.82
2023-02-17,18,224.73
2023-02-17,19,494.33
2023-02-17,20,330.42
2023-02-17,21,100.35
2023-02-18,8,329.3
2023-02-18,9,404.88
2023-02-18,10,736.05
2023-02-18,11,497.58
2023-02-18,12,1033.36
2023-02-18,13,277.15
2023-02-18,14,664.02
2023-02-18,15,813.46
2023-02-18,16,291.16
2023-02-18,17,1086.29
2023-02-18,18,814.97
2023-02-18,19,608.33
2023-02-18,20,396.46
2023-02-18,21,204.51
2023-02-19,8,724.67
2023-02-19,9,541.45
2023-02-19,10,878.28
2023-02-19,11,502.56
2023-02-19,12,1110.23
2023-02-19,13,1124.77
2023-02-19,14,725.6
2023-02-19,15,613.41
2023-02-19,16,989.38
2023-02-19,17,1197.01
2023-02-19,18,1003.29
2023-02-19,19,226.83
2023-02-19,20,574.3
2023-02-19,21,597.67
2023-02-20,8,361.2
2023-02-20,9,70.37
2023-02-20,10,145.12
2023-02-20,11,268.45
2023-02-20,12,548.19
2023-02-20,13,267.55
2023-02-20,14,124.26
2023-02-20,15,199.13
2023-02-20,16,313.0
2023-02-20,17,202.82
2023-02-20,18,404.98
2023-02-20,19,186.7
2023-02-20,20,91.32
2023-02-20,21,449.87
2023-02-21,8,93.59
2023-02-21,9,246.21
2023-02-21,10,415.3
2023-02-21,11,730.3
2023-02-21,12,360.93
2023-02-21,13,400.09
2023-02-21,14,200.35
2023-02-21,15,370.57
2023-02-21,16,350.75
2023-02-21,17,383.46
2023-02-21,18,330.47
2023-02-21,19,161.79
2023-02-21,20,372.45
2023-02-21,21,168.86
2023-02-22,8,187.77
2023-02-22,9,340.53
2023-02-22,10,413.63
2023-02-22,11,551.61
2023-02-22,12,232.67
2023-02-22,13,191.95
2023-02-22,14,314.47
2023-02-22,15,190.32
2023-02-22,16,185.56
2023-02-22,17,831.42
2023-02-22,18,395.94
2023-02-22,19,273.86
2023-02-22,20,207.84
2023-02-22,21,196.25
2023-02-23,8,525.05
2023-02-23,9,132.67
2023-02-23,10,466.06
2023-02-23,11,421.96
2023-02-23,12,555.02
2023-02-23,13,436.78
2023-02-23,14,288.65
2023-02-23,15,341.21
2023-02-23,16,448.99
2023-02-23,17,543.07
2023-02-23,18,764.51
2023-02-23,19,480.79
2023-02-23,20,279.09
2023-02-23,21,149.52
2023-02-24,8,361.94
2023-02-24,9,130.31
2023-02-24,10,150.73
2023-02-24,11,271.51
2023-02-24,12,345.59
2023-02-24,13,978.0
2023-02-24,14,182.25
2023-02-24,15,198.69
2023-02-24,16,710.68
2023-02-24,17,790.27
2023-02-24,18,325.94
2023-02-24,19,295.94
2023-02-24,20,286.62
2023-02-24,21,409.96
2023-02-25,8,782.29
2023-02-25,9,920.93
2023-02-25,10,234.81
2023-02-25,11,703.69
2023-02-25,12,418.05
2023-02-25,13,380.48
2023-02-25,14,624.8
2023-02-25,15,1310.18
2023-02-25,16,776.02
2023-02-25,17,1473.0
2023-02-25,18,514.13
2023-02-25,19,495.13
2023-02-25,20,391.69
2023-02-25,21,335.47
2023-02-26,8,1022.59
2023-02-26,9,455.52
2023-02-26,10,426.09
2023-02-26,11,1172.68
2023-02-26,12,294.42
2023-02-26,13,824.62
2023-02-26,14,323.97
2023-02-26,15,883.35
2023-02-26,16,413.33
2023-02-26,17,402.45
2023-02-26,18,506.53
2023-02-26,19,366.25
2023-02-26,20,767.82
2023-02-26,21,347.3
2023-02-27,8,232.16
2023-02-27,9,429.55
2023-02-27,10,140.32
2023-02-27,11,638.9
2023-02-27,12,612.51
2023-02-27,13,452.46
2023-02-27,14,350.92
2023-02-27,15,233.8
2023-02-27,16,408.42
2023-02-27,17,623.63
2023-02-27,18,447.52
2023-02-27,19,196.14
2023-02-27,20,347.86
2023-02-27,21,343.28
2023-02-28,8,227.04
2023-02-28,9,246.02
2023-02-28,10,348.1
2023-02-28,11,625.15
2023-02-28,12,157.22
2023-02-28,13,424.93
2023-02-28,14,76.37
2023-02-28,15,133.67
2023-02-28,16,704.75
2023-02-28,17,341.04
2023-02-28,18,1094.7
2023-02-28,19,119.05
2023-02-28,20,353.08
2023-02-28,21,211.85
2023-03-01,8,154.44
2023-03-01,9,78.41
2023-03-01,10,507.23
2023-03-01,11,670.23
2023-03-01,12,535.55
2023-03-01,13,213.77
2023-03-01,14,387.61
2023-03-01,15,315.08
2023-03-01,16,708.72
2023-03-01,17,495.02
2023-03-01,18,252.52
2023-03-01,19,275.78
2023-03-01,20,505.12
2023-03-01,21,252.98
2023-03-02,8,296.44
2023-03-02,9,256.94
2023-03-02,10,528.96
2023-03-02,11,824.37
2023-03-02,12,584.68
2023-03-02,13,666.06
2023-03-02,14,381.55
2023-03-02,15,261.07
2023-03-02,16,907.97
2023-03-02,17,541.86
2023-03-02,18,479.61
2023-03-02,19,317.01
2023-03-02,20,511.26
2023-03-02,21,240.85
2023-03-03,8,129.4
2023-03-03,9,260.2
2023-03-03,10,133.52
2023-03-03,11,438.51
2023-03-03,12,622.73
2023-03-03,13,524.24
2023-03-03,14,293.18
2023-03-03,15,144.05
2023-03-03,16,180.08
2023-03-03,17,668.04
2023-03-03,18,551.07
2023-03-03,19,180.9
2023-03-03,20,360.88
2023-03-03,21,191.43
2023-03-04,8,1080.12
2023-03-04,9,507.64
2023-03-04,10,642.32
2023-03-04,11,990.8
2023-03-04,12,406.83
2023-03-04,13,343.46
2023-03-04,14,1005.96
2023-03-04,15,599.68
2023-03-04,16,647.91
2023-03-04,17,949.09
2023-03-04,18,654.71
2023-03-04,19,332.95
2023-03-04,20,683.62
2023-03-04,21,663.24
2023-03-05,8,542.35
2023-03-05,9,438.16
2023-03-05,10,400.92
2023-03-05,11,335.76
2023-03-05,12,1022.92
2023-03-05,13,1000.86
2023-03-05,14,580.19
2023-03-05,15,681.51
2023-03-05,16,1271.74
2023-03-05,17,1374.79
2023-03-05,18,921.4
2023-03-05,19,575.5
2023-03-05,20,837.01
2023-03-05,21,790.17
2023-03-06,8,306.88
2023-03-06,9,124.97
2023-03-06,10,97.57
2023-03-06,11,510.86
2023-03-06,12,621.61
2023-03-06,13,296.53
2023-03-06,14,380.66
2023-03-06,15,441.69
2023-03-06,16,499.72
2023-03-06,17,813.96
2023-03-06,18,494.35
2023-03-06,19,147.63
2023-03-06,20,103.86
2023-03-06,21,135.17
2023-03-07,8,289.3
2023-03-07,9,312.18
2023-03-07,10,453.6
2023-03-07,11,888.91
2023-03-07,12,594.49
2023-03-07,13,217.71
2023-03-07,14,390.63
2023-03-07,15,207.89
2023-03-07,16,417.7
2023-03-07,17,246.45
2023-03-07,18,649.82
2023-03-07,19,377.39
2023-03-07,20,277.75
2023-03-07,21,350.74
2023-03-08,8,259.9
2023-03-08,9,193.19
2023-03-08,10,394.32
2023-03-08,11,414.87
2023-03-08,12,166.96
2023-03-08,13,383.49
2023-03-08,14,350.9
2023-03-08,15,229.62
2023-03-08,16,555.2
2023-03-08,17,735.97
2023-03-08,18,627.19
2023-03-08,19,375.31
2023-03-08,20,266.69
2023-03-08,21,285.61
2023-03-09,8,262.83
2023-03-09,9,345.68
2023-03-09,10,467.15
2023-03-09,11,306.24
2023-03-09,12,119.33
2023-03-09,13,137.36
2023-03-09,14,503.99
2023-03-09,15,176.01
2023-03-09,16,634.79
2023-03-09,17,199.01
2023-03-09,18,754.67
2023-03-09,19,115.93
2023-03-09,20,496.93
2023-03-09,21,177.51
2023-03-10,8,285.42
2023-03-10,9,410.22
2023-03-10,10,118.49
2023-03-10,11,199.85
2023-03-10,12,232.25
2023-03-10,13,152.52
2023-03-10,14,210.7
2023-03-10,15,401.09
2023-03-10,16,1146.13
2023-03-10,17,251.49
2023-03-10,18,723.14
2023-03-10,19,136.43
2023-03-10,20,253.52
2023-03-10,21,366.77
2023-03-11,8,778.16
2023-03-11,9,257.6
2023-03-11,10,658.86
2023-03-11,11,503.58
2023-03-11,12,1086.3
2023-03-11,13,461.97
2023-03-11,14,300.55
2023-03-11,15,851.17
2023-03-11,16,764.71
2023-03-11,17,482.98
2023-03-11,18,804.72
2023-03-11,19,837.37
2023-03-11,20,479.52
2023-03-11,21,455.83
2023-03-12,8,677.37
2023-03-12,9,710.51
2023-03-12,10,212.76
2023-03-12,11,1003.88
2023-03-12,12,736.7
2023-03-12,13,1052.75
2023-03-12,14,797.82
2023-03-12,15,659.14
2023-03-12,16,279.96
2023-03-12,17,1074.58
2023-03-12,18,698.78
2023-03-12,19,547.09
2023-03-12,20,871.18
2023-03-12,21,781.41
2023-03-13,8,413.08
2023-03-13,9,402.82
2023-03-13,10,294.47
2023-03-13,11,353.78
2023-03-13,12,323.52
2023-03-13,13,269.61
2023-03-13,14,140.22
2023-03-13,15,130.16
2023-03-13,16,759.34
2023-03-13,17,274.74
2023-03-13,18,600.56
2023-03-13,19,401.25
2023-03-13,20,218.37
2023-03-13,21,114.17
2023-03-14,8,413.79
2023-03-14,9,402.15
2023-03-14,10,522.88
2023-03-14,11,774.18
2023-03-14,12,650.83
2023-03-14,13,430.8
2023-03-14,14,158.09
2023-03-14,15,43.53
2023-03-14,16,700.9
2023-03-14,17,780.77
2023-03-14,18,713.59
2023-03-14,19,282.9
2023-03-14,20,124.9
2023-03-14,21,458.19
2023-03-15,8,399.95
2023-03-15,9,419.4
2023-03-15,10,399.38
2023-03-15,11,262.84
2023-03-15,12,361.39
2023-03-15,13,216.22
2023-03-15,14,198.8
2023-03-15,15,396.77
2023-03-15,16,531.32
2023-03-15,17,472.77
2023-03-15,18,629.58
2023-03-15,19,248.71
2023-03-15,20,107.27
2023-03-15,21,206.4
2023-03-16,8,484.64
2023-03-16,9,405.8
2023-03-16,10,178.33
2023-03-16,11,264.73
2023-03-16,12,681.91
2023-03-16,13,543.31
2023-03-16,14,276.62
2023-03-16,15,239.54
2023-03-16,16,437.53
2023-03-16,17,569.81
2023-03-16,18,225.1
2023-03-16,19,105.73
2023-03-16,20,76.0
2023-03-16,21,196.07
2023-03-17,8,198.21
2023-03-17,9,260.54
2023-03-17,10,279.45
2023-03-17,11,611.34
2023-03-17,12,661.08
2023-03-17,13,633.91
2023-03-17,14,277.97
2023-03-17,15,353.17
2023-03-17,16,235.48
2023-03-17,17,488.05
2023-03-17,18,706.34
2023-03-17,19,390.18
2023-03-17,20,441.56
2023-03-17,21,104.54
2023-03-18,8,342.66
2023-03-18,9,365.89
2023-03-18,10,519.81
2023-03-18,11,987.21
2023-03-18,12,499.72
2023-03-18,13,945.36
2023-03-18,14,1095.77
